lexeme,stem,class,regular,last,last2,last3,last4,first,first2,first3,first4
blindar,blind,ar-regular,1,d,n,i,l,b,l,i,n
bloquear,bloce,ar-regular,1,e,c,o,l,b,l,o,c
bochar,boC,ar-regular,1,C,o,b,,b,o,C,
bogar,bog,ar-regular,1,g,o,b,,b,o,g,
boicotear,boicote,ar-regular,1,e,t,o,c,b,o,i,c
bolear,bole,ar-regular,1,e,l,o,b,b,o,l,e
bombardear,bombarde,ar-regular,1,e,d,r,a,b,o,m,b
bombear,bombe,ar-regular,1,e,b,m,o,b,o,m,b
boquear,boce,ar-regular,1,e,c,o,b,b,o,c,e
bordar,bord,ar-regular,1,d,r,o,b,b,o,r,d
bordear,borde,ar-regular,1,e,d,r,o,b,o,r,d
borrar,boR,ar-regular,1,R,o,b,,b,o,R,
bosquejar,boscej,ar-regular,1,j,e,c,s,b,o,s,c
botar,bot,ar-regular,1,t,o,b,,b,o,t,
boxear,boxe,ar-regular,1,e,x,o,b,b,o,x,e
boyar,boL,ar-regular,1,L,o,b,,b,o,L,
bregar,breg,ar-regular,1,g,e,r,b,b,r,e,g
brillar,briL,ar-regular,1,L,i,r,b,b,r,i,L
brincar,brinc,ar-regular,1,c,n,i,r,b,r,i,n
brindar,brind,ar-regular,1,d,n,i,r,b,r,i,n
bromear,brome,ar-regular,1,e,m,o,r,b,r,o,m
broncear,bronze,ar-regular,1,e,z,n,o,b,r,o,n
brotar,brot,ar-regular,1,t,o,r,b,b,r,o,t
bucear,buze,ar-regular,1,e,z,u,b,b,u,z,e
bufar,buf,ar-regular,1,f,u,b,,b,u,f,
burlar,burl,ar-regular,1,l,r,u,b,b,u,r,l
buscar,busc,ar-regular,1,c,s,u,b,b,u,s,c
cabalgar,cabalg,ar-regular,1,g,l,a,b,c,a,b,a
cabecear,cabeze,ar-regular,1,e,z,e,b,c,a,b,e
cabildear,cabilde,ar-regular,1,e,d,l,i,c,a,b,i
cablear,cable,ar-regular,1,e,l,b,a,c,a,b,l
cabrear,cabre,ar-regular,1,e,r,b,a,c,a,b,r
cacarear,cacare,ar-regular,1,e,r,a,c,c,a,c,a
cachar,caC,ar-regular,1,C,a,c,,c,a,C,
caducar,caduc,ar-regular,1,c,u,d,a,c,a,d,u
cagar,cag,ar-regular,1,g,a,c,,c,a,g,
calcar,calc,ar-regular,1,c,l,a,c,c,a,l,c
calcinar,calzin,ar-regular,1,n,i,z,l,c,a,l,z
calcular,calcul,ar-regular,1,l,u,c,l,c,a,l,c
caldear,calde,ar-regular,1,e,d,l,a,c,a,l,d
calentar,calent,ar-ie,0,t,n,e,l,c,a,l,e
calibrar,calibr,ar-regular,1,r,b,i,l,c,a,l,i
calificar,calific,ar-regular,1,c,i,f,i,c,a,l,i
callar,caL,ar-regular,1,L,a,c,,c,a,L,
callejear,caLeje,ar-regular,1,e,j,e,L,c,a,L,e
calmar,calm,ar-regular,1,m,l,a,c,c,a,l,m
calumniar,calumni,ar-regular,1,i,n,m,u,c,a,l,u
calzar,calz,ar-regular,1,z,l,a,c,c,a,l,z
cambiar,cambi,ar-regular,1,i,b,m,a,c,a,m,b
camelar,camel,ar-regular,1,l,e,m,a,c,a,m,e
caminar,camin,ar-regular,1,n,i,m,a,c,a,m,i
campar,camp,ar-regular,1,p,m,a,c,c,a,m,p
camuflar,camufl,ar-regular,1,l,f,u,m,c,a,m,u
canalizar,canaliz,ar-regular,1,z,i,l,a,c,a,n,a
cancelar,canzel,ar-regular,1,l,e,z,n,c,a,n,z
candar,cand,ar-regular,1,d,n,a,c,c,a,n,d
canjear,canje,ar-regular,1,e,j,n,a,c,a,n,j
cansar,cans,ar-regular,1,s,n,a,c,c,a,n,s
cantar,cant,ar-regular,1,t,n,a,c,c,a,n,t
capacitar,capazit,ar-regular,1,t,i,z,a,c,a,p,a
capar,cap,ar-regular,1,p,a,c,,c,a,p,
capear,cape,ar-regular,1,e,p,a,c,c,a,p,e
capitalizar,capitaliz,ar-regular,1,z,i,l,a,c,a,p,i
capitular,capitul,ar-regular,1,l,u,t,i,c,a,p,i
captar,capt,ar-regular,1,t,p,a,c,c,a,p,t
capturar,captur,ar-regular,1,r,u,t,p,c,a,p,t
caracterizar,caracteriz,ar-regular,1,z,i,r,e,c,a,r,a
carbonizar,carboniz,ar-regular,1,z,i,n,o,c,a,r,b
carear,care,ar-regular,1,e,r,a,c,c,a,r,e
cargar,carg,ar-regular,1,g,r,a,c,c,a,r,g
cariar,cari,ar-regular,1,i,r,a,c,c,a,r,i
caricaturizar,caricaturiz,ar-regular,1,z,i,r,u,c,a,r,i
cartear,carte,ar-regular,1,e,t,r,a,c,a,r,t
casar,cas,ar-regular,1,s,a,c,,c,a,s,
cascar,casc,ar-regular,1,c,s,a,c,c,a,s,c
castigar,castig,ar-regular,1,g,i,t,s,c,a,s,t
castrar,castr,ar-regular,1,r,t,s,a,c,a,s,t
catalogar,catalog,ar-regular,1,g,o,l,a,c,a,t,a
catar,cat,ar-regular,1,t,a,c,,c,a,t,
catear,cate,ar-regular,1,e,t,a,c,c,a,t,e
caucionar,cauzion,ar-regular,1,n,o,i,z,c,a,u,z
causar,caus,ar-regular,1,s,u,a,c,c,a,u,s
cautelar,cautel,ar-regular,1,l,e,t,u,c,a,u,t
cautivar,cautib,ar-regular,1,b,i,t,u,c,a,u,t
cavar,cab,ar-regular,1,b,a,c,,c,a,b,
cazar,caz,ar-regular,1,z,a,c,,c,a,z,
cebar,zeb,ar-regular,1,b,e,z,,z,e,b,
cegar,zeg,ar-ie,0,g,e,z,,z,e,g,
cejar,zej,ar-regular,1,j,e,z,,z,e,j,
celar,zel,ar-regular,1,l,e,z,,z,e,l,
celebrar,zelebr,ar-regular,1,r,b,e,l,z,e,l,e
cenar,zen,ar-regular,1,n,e,z,,z,e,n,
censar,zens,ar-regular,1,s,n,e,z,z,e,n,s
censurar,zensur,ar-regular,1,r,u,s,n,z,e,n,s
centralizar,zentraliz,ar-regular,1,z,i,l,a,z,e,n,t
centrar,zentr,ar-regular,1,r,t,n,e,z,e,n,t
cercar,zerc,ar-regular,1,c,r,e,z,z,e,r,c
cercenar,zerzen,ar-regular,1,n,e,z,r,z,e,r,z
cerciorar,zerzior,ar-regular,1,r,o,i,z,z,e,r,z
cerrar,zeR,ar-ie,0,R,e,z,,z,e,R,
certificar,zertific,ar-regular,1,c,i,f,i,z,e,r,t
cesar,zes,ar-regular,1,s,e,z,,z,e,s,
chafar,Caf,ar-regular,1,f,a,C,,C,a,f,
chalar,Cal,ar-regular,1,l,a,C,,C,a,l,
chambear,Cambe,ar-regular,1,e,b,m,a,C,a,m,b
chantajear,Cantaje,ar-regular,1,e,j,a,t,C,a,n,t
chapuzar,Capuz,ar-regular,1,z,u,p,a,C,a,p,u
charlar,Carl,ar-regular,1,l,r,a,C,C,a,r,l
charolar,Carol,ar-regular,1,l,o,r,a,C,a,r,o
chascar,Casc,ar-regular,1,c,s,a,C,C,a,s,c
checar,Cec,ar-regular,1,c,e,C,,C,e,c,
chequear,Cece,ar-regular,1,e,c,e,C,C,e,c,e
chiflar,Cifl,ar-regular,1,l,f,i,C,C,i,f,l
chillar,CiL,ar-regular,1,L,i,C,,C,i,L,
chinchar,CinC,ar-regular,1,C,n,i,C,C,i,n,C
chingar,Cing,ar-regular,1,g,n,i,C,C,i,n,g
chistar,Cist,ar-regular,1,t,s,i,C,C,i,s,t
chivar,Cib,ar-regular,1,b,i,C,,C,i,b,
chocar,Coc,ar-regular,1,c,o,C,,C,o,c,
chochear,CoCe,ar-regular,1,e,C,o,C,C,o,C,e
chulear,Cule,ar-regular,1,e,l,u,C,C,u,l,e
chupar,Cup,ar-regular,1,p,u,C,,C,u,p,
chutar,Cut,ar-regular,1,t,u,C,,C,u,t,
cicatrizar,zicatriz,ar-regular,1,z,i,r,t,z,i,c,a
cifrar,zifr,ar-regular,1,r,f,i,z,z,i,f,r
cilindrar,zilindr,ar-regular,1,r,d,n,i,z,i,l,i
cimentar,ziment,ar-ie,0,t,n,e,m,z,i,m,e
circular,zircul,ar-regular,1,l,u,c,r,z,i,r,c
circuncidar,zircunzid,ar-regular,1,d,i,z,n,z,i,r,c
circundar,zircund,ar-regular,1,d,n,u,c,z,i,r,c
citar,zit,ar-regular,1,t,i,z,,z,i,t,
civilizar,zibiliz,ar-regular,1,z,i,l,i,z,i,b,i
clamar,clam,ar-regular,1,m,a,l,c,c,l,a,m
clarificar,clarific,ar-regular,1,c,i,f,i,c,l,a,r
clasificar,clasific,ar-regular,1,c,i,f,i,c,l,a,s
clausurar,clausur,ar-regular,1,r,u,s,u,c,l,a,u
clavar,clab,ar-regular,1,b,a,l,c,c,l,a,b
coaccionar,coaczion,ar-regular,1,n,o,i,z,c,o,a,c
coadyuvar,coadLub,ar-regular,1,b,u,L,d,c,o,a,d
coartar,coart,ar-regular,1,t,r,a,o,c,o,a,r
cobijar,cobij,ar-regular,1,j,i,b,o,c,o,b,i
cobrar,cobr,ar-regular,1,r,b,o,c,c,o,b,r
cocinar,cozin,ar-regular,1,n,i,z,o,c,o,z,i
codear,code,ar-regular,1,e,d,o,c,c,o,d,e
codiciar,codizi,ar-regular,1,i,z,i,d,c,o,d,i
codificar,codific,ar-regular,1,c,i,f,i,c,o,d,i
cohechar,coeC,ar-regular,1,C,e,o,c,c,o,e,C
cojear,coje,ar-regular,1,e,j,o,c,c,o,j,e
colaborar,colabor,ar-regular,1,r,o,b,a,c,o,l,a
colar,col,ar-ue,0,l,o,c,,c,o,l,
colear,cole,ar-regular,1,e,l,o,c,c,o,l,e
coleccionar,coleczion,ar-regular,1,n,o,i,z,c,o,l,e
colectar,colect,ar-regular,1,t,c,e,l,c,o,l,e
colectivizar,colectibiz,ar-regular,1,z,i,b,i,c,o,l,e
colgar,colg,ar-ue,0,g,l,o,c,c,o,l,g
colmar,colm,ar-regular,1,m,l,o,c,c,o,l,m
colocar,coloc,ar-regular,1,c,o,l,o,c,o,l,o
colonizar,coloniz,ar-regular,1,z,i,n,o,c,o,l,o
colorar,color,ar-regular,1,r,o,l,o,c,o,l,o
colorear,colore,ar-regular,1,e,r,o,l,c,o,l,o
comandar,comand,ar-regular,1,d,n,a,m,c,o,m,a
combinar,combin,ar-regular,1,n,i,b,m,c,o,m,b
comentar,coment,ar-regular,1,t,n,e,m,c,o,m,e
comenzar,comenz,ar-ie,0,z,n,e,m,c,o,m,e
comercializar,comerzializ,ar-regular,1,z,i,l,a,c,o,m,e
comerciar,comerzi,ar-regular,1,i,z,r,e,c,o,m,e
comisionar,comision,ar-regular,1,n,o,i,s,c,o,m,i
compactar,compact,ar-regular,1,t,c,a,p,c,o,m,p
compaginar,compajin,ar-regular,1,n,i,j,a,c,o,m,p
comparar,compar,ar-regular,1,r,a,p,m,c,o,m,p
compendiar,compendi,ar-regular,1,i,d,n,e,c,o,m,p
compensar,compens,ar-regular,1,s,n,e,p,c,o,m,p
compilar,compil,ar-regular,1,l,i,p,m,c,o,m,p
complementar,complement,ar-regular,1,t,n,e,m,c,o,m,p
completar,complet,ar-regular,1,t,e,l,p,c,o,m,p
complicar,complic,ar-regular,1,c,i,l,p,c,o,m,p
comportar,comport,ar-regular,1,t,r,o,p,c,o,m,p
comprar,compr,ar-regular,1,r,p,m,o,c,o,m,p
comprobar,comprob,ar-ue,0,b,o,r,p,c,o,m,p
computar,comput,ar-regular,1,t,u,p,m,c,o,m,p
computerizar,computeriz,ar-regular,1,z,i,r,e,c,o,m,p
comulgar,comulg,ar-regular,1,g,l,u,m,c,o,m,u
comunicar,comunic,ar-regular,1,c,i,n,u,c,o,m,u
concentrar,conzentr,ar-regular,1,r,t,n,e,c,o,n,z
concertar,conzert,ar-ie,0,t,r,e,z,c,o,n,z
concienciar,conzienzi,ar-regular,1,i,z,n,e,c,o,n,z
concientizar,conzientiz,ar-regular,1,z,i,t,n,c,o,n,z
conciliar,conzili,ar-regular,1,i,l,i,z,c,o,n,z
concitar,conzit,ar-regular,1,t,i,z,n,c,o,n,z
concordar,concord,ar-ue,0,d,r,o,c,c,o,n,c
concretar,concret,ar-regular,1,t,e,r,c,c,o,n,c
concursar,concurs,ar-regular,1,s,r,u,c,c,o,n,c
condecorar,condecor,ar-regular,1,r,o,c,e,c,o,n,d
condenar,conden,ar-regular,1,n,e,d,n,c,o,n,d
condensar,condens,ar-regular,1,s,n,e,d,c,o,n,d
condicionar,condizion,ar-regular,1,n,o,i,z,c,o,n,d
condimentar,condiment,ar-regular,1,t,n,e,m,c,o,n,d
condonar,condon,ar-regular,1,n,o,d,n,c,o,n,d
conectar,conect,ar-regular,1,t,c,e,n,c,o,n,e
confeccionar,confeczion,ar-regular,1,n,o,i,z,c,o,n,f
conferenciar,conferenzi,ar-regular,1,i,z,n,e,c,o,n,f
confesar,confes,ar-ie,0,s,e,f,n,c,o,n,f
confiar,confi,ar-regular,1,i,f,n,o,c,o,n,f
configurar,configur,ar-regular,1,r,u,g,i,c,o,n,f
confinar,confin,ar-regular,1,n,i,f,n,c,o,n,f
confirmar,confirm,ar-regular,1,m,r,i,f,c,o,n,f
confiscar,confisc,ar-regular,1,c,s,i,f,c,o,n,f
conformar,conform,ar-regular,1,m,r,o,f,c,o,n,f
confrontar,confront,ar-regular,1,t,n,o,r,c,o,n,f
congelar,conjel,ar-regular,1,l,e,j,n,c,o,n,j
congestionar,conjestion,ar-regular,1,n,o,i,t,c,o,n,j
conglomerar,conglomer,ar-regular,1,r,e,m,o,c,o,n,g
congratular,congratul,ar-regular,1,l,u,t,a,c,o,n,g
congregar,congreg,ar-regular,1,g,e,r,g,c,o,n,g
conjeturar,conjetur,ar-regular,1,r,u,t,e,c,o,n,j
conjugar,conjug,ar-regular,1,g,u,j,n,c,o,n,j
conjurar,conjur,ar-regular,1,r,u,j,n,c,o,n,j
conllevar,conLeb,ar-regular,1,b,e,L,n,c,o,n,L
conmemorar,conmemor,ar-regular,1,r,o,m,e,c,o,n,m
conminar,conmin,ar-regular,1,n,i,m,n,c,o,n,m
conmocionar,conmozion,ar-regular,1,n,o,i,z,c,o,n,m
conmutar,conmut,ar-regular,1,t,u,m,n,c,o,n,m
connotar,connot,ar-regular,1,t,o,n,n,c,o,n,n
conquistar,concist,ar-regular,1,t,s,i,c,c,o,n,c
consagrar,consagr,ar-regular,1,r,g,a,s,c,o,n,s
conservar,conserb,ar-regular,1,b,r,e,s,c,o,n,s
considerar,consider,ar-regular,1,r,e,d,i,c,o,n,s
consignar,consign,ar-regular,1,n,g,i,s,c,o,n,s
consolar,consol,ar-ue,0,l,o,s,n,c,o,n,s
consolidar,consolid,ar-regular,1,d,i,l,o,c,o,n,s
conspirar,conspir,ar-regular,1,r,i,p,s,c,o,n,s
constar,const,ar-regular,1,t,s,n,o,c,o,n,s
constatar,constat,ar-regular,1,t,a,t,s,c,o,n,s
consternar,constern,ar-regular,1,n,r,e,t,c,o,n,s
consultar,consult,ar-regular,1,t,l,u,s,c,o,n,s
consumar,consum,ar-regular,1,m,u,s,n,c,o,n,s
contabilizar,contabiliz,ar-regular,1,z,i,l,i,c,o,n,t
contactar,contact,ar-regular,1,t,c,a,t,c,o,n,t
contagiar,contaji,ar-regular,1,i,j,a,t,c,o,n,t
contaminar,contamin,ar-regular,1,n,i,m,a,c,o,n,t
contar,cont,ar-ue,0,t,n,o,c,c,o,n,t
contemplar,contempl,ar-regular,1,l,p,m,e,c,o,n,t
contentar,content,ar-regular,1,t,n,e,t,c,o,n,t
contestar,contest,ar-regular,1,t,s,e,t,c,o,n,t
continuar,continu,ar-regular,1,u,n,i,t,c,o,n,t
contrabandear,contrabande,ar-regular,1,e,d,n,a,c,o,n,t
contrariar,contrari,ar-regular,1,i,r,a,r,c,o,n,t
contrarrestar,contraRest,ar-regular,1,t,s,e,R,c,o,n,t
contrastar,contrast,ar-regular,1,t,s,a,r,c,o,n,t
contratar,contrat,ar-regular,1,t,a,r,t,c,o,n,t
controlar,control,ar-regular,1,l,o,r,t,c,o,n,t
convalidar,conbalid,ar-regular,1,d,i,l,a,c,o,n,b
conversar,conbers,ar-regular,1,s,r,e,b,c,o,n,b
convidar,conbid,ar-regular,1,d,i,b,n,c,o,n,b
convocar,conboc,ar-regular,1,c,o,b,n,c,o,n,b
convulsionar,conbulsion,ar-regular,1,n,o,i,s,c,o,n,b
cooperar,cooper,ar-regular,1,r,e,p,o,c,o,o,p
coordinar,coordin,ar-regular,1,n,i,d,r,c,o,o,r
copiar,copi,ar-regular,1,i,p,o,c,c,o,p,i
copular,copul,ar-regular,1,l,u,p,o,c,o,p,u
corear,core,ar-regular,1,e,r,o,c,c,o,r,e
cornear,corne,ar-regular,1,e,n,r,o,c,o,r,n
coronar,coron,ar-regular,1,n,o,r,o,c,o,r,o
correlacionar,coRelazion,ar-regular,1,n,o,i,z,c,o,R,e
corretear,coRete,ar-regular,1,e,t,e,R,c,o,R,e
corroborar,coRobor,ar-regular,1,r,o,b,o,c,o,R,o
cortar,cort,ar-regular,1,t,r,o,c,c,o,r,t
cortejar,cortej,ar-regular,1,j,e,t,r,c,o,r,t
cosechar,coseC,ar-regular,1,C,e,s,o,c,o,s,e
cosquillar,cosciL,ar-regular,1,L,i,c,s,c,o,s,c
costar,cost,ar-ue,0,t,s,o,c,c,o,s,t
costear,coste,ar-regular,1,e,t,s,o,c,o,s,t
cotejar,cotej,ar-regular,1,j,e,t,o,c,o,t,e
cotillear,cotiLe,ar-regular,1,e,L,i,t,c,o,t,i
cotizar,cotiz,ar-regular,1,z,i,t,o,c,o,t,i
crear,cre,ar-regular,1,e,r,c,,c,r,e,
criar,cri,ar-regular,1,i,r,c,,c,r,i,
cribar,crib,ar-regular,1,b,i,r,c,c,r,i,b
criminalizar,criminaliz,ar-regular,1,z,i,l,a,c,r,i,m
cristalizar,cristaliz,ar-regular,1,z,i,l,a,c,r,i,s
criticar,critic,ar-regular,1,c,i,t,i,c,r,i,t
croar,cro,ar-regular,1,o,r,c,,c,r,o,
cronometrar,cronometr,ar-regular,1,r,t,e,m,c,r,o,n
crucificar,cruzific,ar-regular,1,c,i,f,i,c,r,u,z
cruzar,cruz,ar-regular,1,z,u,r,c,c,r,u,z
cuadrar,cuadr,ar-regular,1,r,d,a,u,c,u,a,d
cuadricular,cuadricul,ar-regular,1,l,u,c,i,c,u,a,d
cuadruplicar,cuadruplic,ar-regular,1,c,i,l,p,c,u,a,d
cuajar,cuaj,ar-regular,1,j,a,u,c,c,u,a,j
cuantificar,cuantific,ar-regular,1,c,i,f,i,c,u,a,n
cucar,cuc,ar-regular,1,c,u,c,,c,u,c,
cuestionar,cuestion,ar-regular,1,n,o,i,t,c,u,e,s
cuidar,cuid,ar-regular,1,d,i,u,c,c,u,i,d
culminar,culmin,ar-regular,1,n,i,m,l,c,u,l,m
culpar,culp,ar-regular,1,p,l,u,c,c,u,l,p
cultivar,cultib,ar-regular,1,b,i,t,l,c,u,l,t
cumplimentar,cumpliment,ar-regular,1,t,n,e,m,c,u,m,p
curar,cur,ar-regular,1,r,u,c,,c,u,r,
curiosear,curiose,ar-regular,1,e,s,o,i,c,u,r,i
cursar,curs,ar-regular,1,s,r,u,c,c,u,r,s
custodiar,custodi,ar-regular,1,i,d,o,t,c,u,s,t
damnificar,damnific,ar-regular,1,c,i,f,i,d,a,m,n
danzar,danz,ar-regular,1,z,n,a,d,d,a,n,z
datar,dat,ar-regular,1,t,a,d,,d,a,t,
deambular,deambul,ar-regular,1,l,u,b,m,d,e,a,m
debilitar,debilit,ar-regular,1,t,i,l,i,d,e,b,i
debutar,debut,ar-regular,1,t,u,b,e,d,e,b,u
decantar,decant,ar-regular,1,t,n,a,c,d,e,c,a
decapitar,decapit,ar-regular,1,t,i,p,a,d,e,c,a
decepcionar,dezepzion,ar-regular,1,n,o,i,z,d,e,z,e
declarar,declar,ar-regular,1,r,a,l,c,d,e,c,l
declinar,declin,ar-regular,1,n,i,l,c,d,e,c,l
decodificar,decodific,ar-regular,1,c,i,f,i,d,e,c,o
decolorar,decolor,ar-regular,1,r,o,l,o,d,e,c,o
decomisar,decomis,ar-regular,1,s,i,m,o,d,e,c,o
decorar,decor,ar-regular,1,r,o,c,e,d,e,c,o
decretar,decret,ar-regular,1,t,e,r,c,d,e,c,r
dedicar,dedic,ar-regular,1,c,i,d,e,d,e,d,i
deformar,deform,ar-regular,1,m,r,o,f,d,e,f,o
defraudar,defraud,ar-regular,1,d,u,a,r,d,e,f,r
degenerar,dejener,ar-regular,1,r,e,n,e,d,e,j,e
degollar,degoL,ar-ue,0,L,o,g,e,d,e,g,o
degradar,degrad,ar-regular,1,d,a,r,g,d,e,g,r
degustar,degust,ar-regular,1,t,s,u,g,d,e,g,u
dejar,dej,ar-regular,1,j,e,d,,d,e,j,
delatar,delat,ar-regular,1,t,a,l,e,d,e,l,a
delegar,deleg,ar-regular,1,g,e,l,e,d,e,l,e
deleitar,deleit,ar-regular,1,t,i,e,l,d,e,l,e
deletrear,deletre,ar-regular,1,e,r,t,e,d,e,l,e
deliberar,deliber,ar-regular,1,r,e,b,i,d,e,l,i
delimitar,delimit,ar-regular,1,t,i,m,i,d,e,l,i
delinear,deline,ar-regular,1,e,n,i,l,d,e,l,i
demandar,demand,ar-regular,1,d,n,a,m,d,e,m,a
demarcar,demarc,ar-regular,1,c,r,a,m,d,e,m,a
democratizar,democratiz,ar-regular,1,z,i,t,a,d,e,m,o
demorar,demor,ar-regular,1,r,o,m,e,d,e,m,o
demostrar,demostr,ar-ue,0,r,t,s,o,d,e,m,o
denegar,deneg,ar-ie,0,g,e,n,e,d,e,n,e
denominar,denomin,ar-regular,1,n,i,m,o,d,e,n,o
denotar,denot,ar-regular,1,t,o,n,e,d,e,n,o
dentar,dent,ar-ie,0,t,n,e,d,d,e,n,t
denunciar,denunzi,ar-regular,1,i,z,n,u,d,e,n,u
deparar,depar,ar-regular,1,r,a,p,e,d,e,p,a
depilar,depil,ar-regular,1,l,i,p,e,d,e,p,i
deplorar,deplor,ar-regular,1,r,o,l,p,d,e,p,l
deportar,deport,ar-regular,1,t,r,o,p,d,e,p,o
depositar,deposit,ar-regular,1,t,i,s,o,d,e,p,o
depurar,depur,ar-regular,1,r,u,p,e,d,e,p,u
derivar,derib,ar-regular,1,b,i,r,e,d,e,r,i
derogar,derog,ar-regular,1,g,o,r,e,d,e,r,o
derramar,deRam,ar-regular,1,m,a,R,e,d,e,R,a
derribar,deRib,ar-regular,1,b,i,R,e,d,e,R,i
derrocar,deRoc,ar-regular,1,c,o,R,e,d,e,R,o
derrochar,deRoC,ar-regular,1,C,o,R,e,d,e,R,o
derrumbar,deRumb,ar-regular,1,b,m,u,R,d,e,R,u
desabrochar,desabroC,ar-regular,1,C,o,r,b,d,e,s,a
desaconsejar,desaconsej,ar-regular,1,j,e,s,n,d,e,s,a
desacreditar,desacredit,ar-regular,1,t,i,d,e,d,e,s,a
desactivar,desactib,ar-regular,1,b,i,t,c,d,e,s,a
desafiar,desafi,ar-regular,1,i,f,a,s,d,e,s,a
desagradar,desagrad,ar-regular,1,d,a,r,g,d,e,s,a
desagraviar,desagrabi,ar-regular,1,i,b,a,r,d,e,s,a
desaguar,desagu,ar-regular,1,u,g,a,s,d,e,s,a
desahogar,desaog,ar-regular,1,g,o,a,s,d,e,s,a
desahuciar,desauzi,ar-regular,1,i,z,u,a,d,e,s,a
desairar,desair,ar-regular,1,r,i,a,s,d,e,s,a
desajustar,desajust,ar-regular,1,t,s,u,j,d,e,s,a
desalentar,desalent,ar-ie,0,t,n,e,l,d,e,s,a
desalojar,desaloj,ar-regular,1,j,o,l,a,d,e,s,a
desamparar,desampar,ar-regular,1,r,a,p,m,d,e,s,a
desandar,desand,ar-regular,1,d,n,a,s,d,e,s,a
desanimar,desanim,ar-regular,1,m,i,n,a,d,e,s,a
desaprobar,desaprob,ar-ue,0,b,o,r,p,d,e,s,a
desaprovechar,desaprobeC,ar-regular,1,C,e,b,o,d,e,s,a
desarmar,desarm,ar-regular,1,m,r,a,s,d,e,s,a
desarraigar,desaRaig,ar-regular,1,g,i,a,R,d,e,s,a
desarreglar,desaRegl,ar-regular,1,l,g,e,R,d,e,s,a
desarrollar,desaRoL,ar-regular,1,L,o,R,a,d,e,s,a
desarticular,desarticul,ar-regular,1,l,u,c,i,d,e,s,a
desatar,desat,ar-regular,1,t,a,s,e,d,e,s,a
desautorizar,desautoriz,ar-regular,1,z,i,r,o,d,e,s,a
desayunar,desaLun,ar-regular,1,n,u,L,a,d,e,s,a
desbancar,desbanc,ar-regular,1,c,n,a,b,d,e,s,b
desbandar,desband,ar-regular,1,d,n,a,b,d,e,s,b
desbaratar,desbarat,ar-regular,1,t,a,r,a,d,e,s,b
desbloquear,desbloce,ar-regular,1,e,c,o,l,d,e,s,b
desbocar,desboc,ar-regular,1,c,o,b,s,d,e,s,b
desbordar,desbord,ar-regular,1,d,r,o,b,d,e,s,b
descabellar,descabeL,ar-regular,1,L,e,b,a,d,e,s,c
descabezar,descabez,ar-regular,1,z,e,b,a,d,e,s,c
descalificar,descalific,ar-regular,1,c,i,f,i,d,e,s,c
descalzar,descalz,ar-regular,1,z,l,a,c,d,e,s,c
descansar,descans,ar-regular,1,s,n,a,c,d,e,s,c
descargar,descarg,ar-regular,1,g,r,a,c,d,e,s,c
descarrilar,descaRil,ar-regular,1,l,i,R,a,d,e,s,c
descartar,descart,ar-regular,1,t,r,a,c,d,e,s,c
descentralizar,deszentraliz,ar-regular,1,z,i,l,a,d,e,s,z
descentrar,deszentr,ar-regular,1,r,t,n,e,d,e,s,z
descifrar,deszifr,ar-regular,1,r,f,i,z,d,e,s,z
descolgar,descolg,ar-ue,0,g,l,o,c,d,e,s,c
descompensar,descompens,ar-regular,1,s,n,e,p,d,e,s,c
desconcentrar,desconzentr,ar-regular,1,r,t,n,e,d,e,s,c
desconcertar,desconzert,ar-ie,0,t,r,e,z,d,e,s,c
desconectar,desconect,ar-regular,1,t,c,e,n,d,e,s,c
desconfiar,desconfi,ar-regular,1,i,f,n,o,d,e,s,c
descongestionar,desconjestion,ar-regular,1,n,o,i,t,d,e,s,c
desconsolar,desconsol,ar-ue,0,l,o,s,n,d,e,s,c
descontar,descont,ar-ue,0,t,n,o,c,d,e,s,c
descuartizar,descuartiz,ar-regular,1,z,i,t,r,d,e,s,c
descuidar,descuid,ar-regular,1,d,i,u,c,d,e,s,c
desdoblar,desdobl,ar-regular,1,l,b,o,d,d,e,s,d
desear,dese,ar-regular,1,e,s,e,d,d,e,s,e
desecar,desec,ar-regular,1,c,e,s,e,d,e,s,e
desechar,deseC,ar-regular,1,C,e,s,e,d,e,s,e
desembarcar,desembarc,ar-regular,1,c,r,a,b,d,e,s,e
desembocar,desemboc,ar-regular,1,c,o,b,m,d,e,s,e
desembolsar,desembols,ar-regular,1,s,l,o,b,d,e,s,e
desempaquetar,desempacet,ar-regular,1,t,e,c,a,d,e,s,e
desencadenar,desencaden,ar-regular,1,n,e,d,a,d,e,s,e
desencajar,desencaj,ar-regular,1,j,a,c,n,d,e,s,e
desencantar,desencant,ar-regular,1,t,n,a,c,d,e,s,e
desenfocar,desenfoc,ar-regular,1,c,o,f,n,d,e,s,e
desenganchar,desenganC,ar-regular,1,C,n,a,g,d,e,s,e
desenredar,desenred,ar-regular,1,d,e,r,n,d,e,s,e
desenterrar,desenteR,ar-ie,0,R,e,t,n,d,e,s,e
desentonar,desenton,ar-regular,1,n,o,t,n,d,e,s,e
desequilibrar,desecilibr,ar-regular,1,r,b,i,l,d,e,s,e
desertar,desert,ar-regular,1,t,r,e,s,d,e,s,e
desesperanzar,desesperanz,ar-regular,1,z,n,a,r,d,e,s,e
desesperar,desesper,ar-regular,1,r,e,p,s,d,e,s,e
desestabilizar,desestabiliz,ar-regular,1,z,i,l,i,d,e,s,e
